"","a8","a7","a6","a5","a4","a3","a2","a1","b8","b7","b6","b5","b4","b3","b2","b1","c8","c7","c6","c5","c4","c3","c2","c1","d8","d7","d6","d5","d4","d3","d2","d1","e8","e7","e6","e5","e4","e3","e2","e1","f8","f7","f6","f5","f4","f3","f2","f1","g8","g7","g6","g5","g4","g3","g2","g1","h8","h7","h6","h5","h4","h3","h2","h1"
"C1600W_24...Qg2","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,"black Queen",NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_25.Kd1","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn","white King",NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,"black Queen",NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_25...Qxh1","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn","white King",NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"black Queen"
"C1600W_26.Kc2","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,"white King",NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"black Queen"
"C1600W_26...Qxa1","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","black Queen",NA,NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,"white King",NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn",NA,NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,NA
"e121236870_empty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e121236870_zero","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,"white pawn","white Queen","black King","black pawn",NA,NA,NA,NA,"white pawn","white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_1.e4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,"white pawn","white Queen","black King","black pawn",NA,NA,"white pawn",NA,NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_1...e5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,"white pawn","white Queen","black King",NA,NA,"black pawn","white pawn",NA,NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_2.d4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,"white pawn",NA,NA,"white Queen","black King",NA,NA,"black pawn","white pawn",NA,NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_2...exd4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,"black pawn",NA,NA,"white Queen","black King",NA,NA,NA,"white pawn",NA,NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_3.Qxd4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,"white Queen",NA,NA,NA,"black King",NA,NA,NA,"white pawn",NA,NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_3...Nc6","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,"white Queen",NA,NA,NA,"black King",NA,NA,NA,"white pawn",NA,NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_4.Qe3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,NA,NA,"black King",NA,NA,NA,"white pawn","white Queen",NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_4...Be7","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn","white Queen",NA,"white King",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_5.Nc3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn","white Queen",NA,"white King",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_5...d6","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black Queen",NA,"black pawn",NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn","white Queen",NA,"white King",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_6.Qg3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black Queen",NA,"black pawn",NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn",NA,NA,"white King",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,"white Queen","white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_6...g6","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black Queen",NA,"black pawn",NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn",NA,NA,"white King",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight",NA,"black pawn",NA,NA,"white Queen","white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"e121236870_7.h4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black Queen",NA,"black pawn",NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn",NA,NA,"white King",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight",NA,"black pawn",NA,NA,"white Queen","white pawn","white Knight","black Rook","black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_7...Nf6","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black Queen",NA,"black pawn",NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn",NA,NA,"white King",NA,"black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop",NA,NA,"black pawn",NA,NA,"white Queen","white pawn","white Knight","black Rook","black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_8.Be3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,"black Queen",NA,"black pawn",NA,NA,NA,NA,NA,"black King","black Bishop",NA,NA,"white pawn","white Bishop",NA,"white King",NA,"black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop",NA,NA,"black pawn",NA,NA,"white Queen","white pawn","white Knight","black Rook","black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_8...O-O","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,"black Queen",NA,"black pawn",NA,NA,NA,NA,NA,NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,"white King","black rook","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop","black king",NA,"black pawn",NA,NA,"white Queen","white pawn","white Knight",NA,"black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_9.Nf3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,"black Queen",NA,"black pawn",NA,NA,NA,NA,NA,NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,"white King","black rook","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black king",NA,"black pawn",NA,NA,"white Queen","white pawn",NA,NA,"black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_9...Bg4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,"black Queen",NA,"black pawn",NA,NA,NA,NA,NA,NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,"white King","black rook","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop","black king",NA,"black pawn",NA,"black Bishop","white Queen","white pawn",NA,NA,"black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_10.Bc4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn","black Knight",NA,"white Bishop","white Knight","white pawn",NA,"black Queen",NA,"black pawn",NA,NA,NA,NA,NA,NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,"white King","black rook","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,"black king",NA,"black pawn",NA,"black Bishop","white Queen","white pawn",NA,NA,"black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_10...Nb4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Bishop","white Knight","white pawn",NA,"black Queen",NA,"black pawn",NA,NA,NA,NA,NA,NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,"white King","black rook","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,"black king",NA,"black pawn",NA,"black Bishop","white Queen","white pawn",NA,NA,"black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_11.O-O-O","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Bishop","white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,NA,"black rook","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,"black king",NA,"black pawn",NA,"black Bishop","white Queen","white pawn",NA,NA,"black pawn",NA,NA,"white pawn",NA,NA,"white Rook"
"e121236870_11...Nh5","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Bishop","white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,NA,"black rook","black pawn",NA,NA,NA,"white Knight","white pawn",NA,"black king",NA,"black pawn",NA,"black Bishop","white Queen","white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
"e121236870_12.Qxg4","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Bishop","white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,"black Bishop",NA,NA,"white pawn","white Bishop",NA,NA,"black rook","black pawn",NA,NA,NA,"white Knight","white pawn",NA,"black king",NA,"black pawn",NA,"white Queen",NA,"white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
"e121236870_12...Bf6","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Bishop","white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,NA,NA,NA,"white pawn","white Bishop",NA,NA,"black rook","black pawn","black Bishop",NA,NA,"white Knight","white pawn",NA,"black king",NA,"black pawn",NA,"white Queen",NA,"white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
"e121236870_13.e5","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Bishop","white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,NA,NA,"white pawn",NA,"white Bishop",NA,NA,"black rook","black pawn","black Bishop",NA,NA,"white Knight","white pawn",NA,"black king",NA,"black pawn",NA,"white Queen",NA,"white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
"e121236870_13...Bg7","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Bishop","white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,NA,NA,"white pawn",NA,"white Bishop",NA,NA,"black rook","black pawn",NA,NA,NA,"white Knight","white pawn",NA,"black king","black Bishop","black pawn",NA,"white Queen",NA,"white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
"e121236870_14.Bxf7+","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,NA,NA,"white pawn",NA,"white Bishop",NA,NA,"black rook","white Bishop",NA,NA,NA,"white Knight","white pawn",NA,"black king","black Bishop","black pawn",NA,"white Queen",NA,"white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
"e121236870_14...Rxf7","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"black Knight",NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,NA,NA,"white pawn",NA,"white Bishop",NA,NA,NA,"black Rook",NA,NA,NA,"white Knight","white pawn",NA,"black king","black Bishop","black pawn",NA,"white Queen",NA,"white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
"e121236870_15.Qxb4","black Rook","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,"white Queen",NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn","white king","black Queen",NA,"black pawn",NA,NA,NA,NA,"white rook",NA,NA,NA,"white pawn",NA,"white Bishop",NA,NA,NA,"black Rook",NA,NA,NA,"white Knight","white pawn",NA,"black king","black Bishop","black pawn",NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,"black Knight","white pawn",NA,NA,"white Rook"
